,Name,fpl_id,Team,GW,Date,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played,G_90,G_90_prev,G_90_prev_3,G_90_prev_5,G_90_prev_10,xG_90,xG_prev,xG_prev_3,xG_prev_5,xG_prev_10,shots_90,shots_90_prev,shots_90_prev_3,shots_90_prev_5,shots_90_prev_10,A_90,A_90_prev,A_90_prev_3,A_90_prev_5,A_90_prev_10,xA_90,xA_90_prev,xA_90_prev_3,xA_90_prev_5,xA_90_prev_10,kp_90,kp_prev,kp_prev_3,kp_prev_5,kp_prev_10,team_goals,team_concede,mins,mins_prev,mins_prev_3,mins_prev_5,mins_prev_10,yellow_cards,red_cards,was_home,ict,ict_prev,ict_prev_3,ict_prev_5,ict_prev_10,bonus,bonus_prev,bonus_prev_3,bonus_prev_5,bonus_prev_10,saves,saves_prev,saves_prev_3,saves_prev_5,saves_prev_10,clean_sheets,clean_sheets_prev,clean_sheets_prev_3,clean_sheets_prev_5,clean_sheets_prev_10,transfers_in,transfers_out,total_points,average_points,position,win_prob,draw_prob,team_xG_scored,team_xG_scored_prev_3,team_xG_scored_prev_5,team_xG_scored_prev_10,team_xG_conceded,team_xG_conceded_prev_3,team_xG_conceded_prev_5,team_xG_conceded_prev_10,team_goals_scored,team_goals_scored_prev_3,team_goals_scored_prev_5,team_goals_scored_prev_10,team_goals_conceded,team_goals_conceded_prev_3,team_goals_conceded_prev_5,team_goals_conceded_prev_10,prev_opp_goals_scored,prev_3_opp_goals_scored,prev_5_opp_goals_scored,prev_10_opp_goals_scored,prev_opp_goals_conceded,prev_3_opp_goals_conceded,prev_5_opp_goals_conceded,prev_10_opp_goals_conceded,prev_opp_xG_scored,prev_3_opp_xG_scored,prev_5_opp_xG_scored,prev_10_opp_xG_scored,prev_opp_XG_conceded,prev_3_opp_xG_conceded,prev_5_opp_xG_conceded,prev_10_opp_xG_conceded,avg_opp_goals_scored,avg_opp_goals_conceded,avg_opp_xG_scored,avg_opp_xG_conceded,prev_season_goals,prev_season_shots,prev_season_xG,prev_season_assists,prev_season_xA,prev_season_key_passes,prev_season_yellow,prev_season_red,prev_season_mins,prev_season_clean_sheets,Web Name,Unnamed: 0,Likes,Followers,Comments,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
0,Craig Dawson,551,Wolverhampton Wanderers,2,2023-08-19T14:00:00Z,0,0,0,0,0,70,0.0,0.0,0.0,0.0,0.0,0.0599999999999999,0.0599999999999999,0.0599999999999999,0.0599999999999999,0.0599999999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.08,0.08,1.0,1.0,1.0,1.0,1.0,0.0,1.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,1.0,5.7,5.7,5.7,5.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,4419,1421,-1,2.0,2,0.5079847604571863,0.2519924402267932,1.72228,1.72228,1.72228,1.72228,1.97087,1.97087,1.97087,1.97087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.36748,4.36748,4.36748,4.36748,1.88594,1.88594,1.88594,1.88594,4.0,1.0,4.36748,1.88594,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,91,15,17054,8,"[0.91537905, 0.6305998, 0.91424966]","[0.063642696, 0.3515677, 0.04494045]","[0.020978237, 0.017832553, 0.040809855]",2.4602285027503967,0.4601508304476738,0.0796206444501876,0.82007617,0.1533836,0.026540214,0,3,0
1,Craig Dawson,551,Wolverhampton Wanderers,11,2023-11-04T15:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0695454545454545,0.0,0.15,0.075,0.0695454545454545,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184090909090909,0.0,0.04,0.02,0.0184090909090909,0.4090909090909091,0.0,1.0,0.5,0.4090909090909091,1.3,1.7,88.0,90.0,90.0,90.0,88.0,0.3068181818181818,0.0,0.0,4.193181818181818,2.4,7.55,5.074999999999999,4.193181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,13407,1946,0,1.6,2,0.4852184687349905,0.2639375187074947,1.3857935,2.03343,1.37595725,1.3857935,2.055697,1.417285,1.5140825,2.055697,1.3,1.5,1.5,1.3,1.7,1.0,1.0,1.7,0.0,0.6666666666666666,0.4,0.7,5.0,3.333333333333333,4.0,2.9,0.0281554,0.5635681333333333,0.63641868,0.7283722400000001,3.03496,2.2543166666666665,3.013736,2.746249,0.7,2.9,0.7283722400000001,2.746249,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,203,37,38264,20,"[0.90184474, 0.90690213, 0.8442934, 0.8864794, 0.8662418, 0.9191902, 0.9307651, 0.788921, 0.9156421]","[0.0857659, 0.07508125, 0.13489288, 0.06459708, 0.11227577, 0.041163296, 0.061906684, 0.18646473, 0.061064925]","[0.012389326, 0.01801664, 0.020813743, 0.048923507, 0.021482475, 0.039646428, 0.0073281345, 0.02461428, 0.023293044]",7.960279881954193,0.8232125118374825,0.2165075778029859,0.8844755,0.09146805,0.024056397,0,8,1
2,Craig Dawson,551,Wolverhampton Wanderers,12,2023-11-11T12:30:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0630927835051546,0.0,0.15,0.075,0.070632911392405,0.7422680412371134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315463917525773,0.16,0.035,0.02,0.0113924050632911,0.3711340206185567,0.0,0.5,0.5,0.3417721518987341,1.2727272727272727,1.7272727272727273,88.18181818181819,90.0,90.0,90.0,87.77777777777777,0.3711340206185567,0.0,1.0,4.036082474226804,2.5,6.75,5.1,4.021518987341771,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,2238,5059,1,1.4545454545454546,2,0.4350543123847142,0.2577667641743213,1.3641786363636363,1.5839664999999998,1.4010595,1.3484061111111112,1.9689654545454545,1.66913,1.5337975,2.0651222222222225,1.2727272727272727,2.0,1.75,1.4444444444444444,1.7272727272727273,1.5,1.25,1.7777777777777777,1.0,1.6666666666666667,1.6,2.1,4.0,1.6666666666666667,1.2,1.1,0.959108,1.1944803333333334,1.6302282,1.9719931,4.05865,1.788774,1.467486,1.5066647,2.090909090909091,1.181818181818182,1.9248264545454543,1.5431097272727272,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,197,127,108485,8,"[0.9426655, 0.7350014, 0.9028779]","[0.052101307, 0.25966683, 0.082322195]","[0.005233221, 0.005331786, 0.01479986]",2.5805448293685918,0.3940903320908546,0.0253648674115538,0.8601816,0.13136345,0.008454956,2,1,0
3,Craig Dawson,551,Wolverhampton Wanderers,13,2023-11-27T20:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0577358490566037,0.0,0.0,0.075,0.0611111111111111,0.6792452830188679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288679245283018,0.0,0.08,0.0599999999999999,0.0288888888888888,0.3396226415094339,0.0,0.0,0.5,0.3333333333333333,1.3333333333333333,1.6666666666666667,88.33333333333333,90.0,90.0,90.0,90.0,0.4245283018867924,0.0,0.0,3.7783018867924527,1.0,2.45,5.0,3.6999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,415,8087,0,1.4166666666666667,2,0.3177639615372568,0.2873195101324897,1.4095670833333334,1.0057115,1.5195707500000002,1.1772749999999998,1.84091125,1.71076,1.5640225,1.8369033333333336,1.3333333333333333,1.5,1.5,1.4444444444444444,1.6666666666666667,2.0,1.5,1.5555555555555556,1.0,0.6666666666666666,1.0,0.9,3.0,1.6666666666666667,1.6,1.7,0.648745,0.7945593333333333,1.0791271999999998,1.0898824,2.86039,1.625815,1.3528968,1.5810904000000003,0.8333333333333334,1.6666666666666667,1.0733469166666667,1.8224828333333327,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,191,202,584372,8,"[0.7368537, 0.6513353, 0.86439055, 0.86318314, 0.74030095, 0.6999311, 0.5264441, 0.42257094, 0.7008607, 0.9019247, 0.7274492, 0.723829]","[0.24865851, 0.33951414, 0.12824559, 0.13414629, 0.245248, 0.29254696, 0.46393955, 0.34070992, 0.2851652, 0.08512606, 0.26497942, 0.26950845]","[0.014487808, 0.0091505805, 0.0073637413, 0.0026705593, 0.014451076, 0.0075219222, 0.009616363, 0.23671912, 0.013974093, 0.012949277, 0.0075714164, 0.0066625737]",8.559073328971863,3.097788080573082,0.3431385264266282,0.7132561,0.258149,0.02859488,3,6,3
4,Craig Dawson,551,Wolverhampton Wanderers,16,2023-12-09T15:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0493548387096774,0.0,0.0,0.0,0.0375,0.5806451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246774193548387,0.0,0.0,0.0533333333333333,0.0299999999999999,0.2903225806451613,0.0,0.0,0.0,0.25,1.3333333333333333,1.6666666666666667,82.66666666666667,90.0,45.0,67.5,80.0,0.3629032258064516,0.0,1.0,3.5056451612903228,2.3,1.5,1.6666666666666667,3.4624999999999995,0.1451612903225806,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,19577,2725,2,1.7333333333333334,2,0.2215740782937611,0.2641844779656382,1.3794183333333334,1.328805,1.42862,1.3424113333333334,1.9111151333333327,2.897125,1.83205375,1.744935,1.3333333333333333,1.5,1.5,1.5555555555555556,1.6666666666666667,2.5,2.0,1.5555555555555556,0.0,0.6666666666666666,1.2,0.9,5.0,3.0,2.4,2.0,0.218659,1.0394313333333334,1.0264042000000002,1.1800001,3.09427,1.6453263333333332,1.6662317999999998,1.6611901,1.0666666666666669,1.8,1.1303176666666666,1.608377333333333,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,172,3,4610,1,"[0.6748298, 0.5931067]","[0.30123436, 0.40215322]","[0.02393584, 0.0047400794]",1.2679364681243896,0.703387588262558,0.0286759189330041,0.63396823,0.3516938,0.01433796,1,0,1
5,Craig Dawson,551,Wolverhampton Wanderers,17,2023-12-17T14:00:00Z,0,0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.0548120300751879,0.13,0.0,0.0,0.0375,0.6090225563909775,1.0,0.5,0.3333333333333333,0.125,0.0,0.0,0.0,0.0,0.0,0.0250375939849624,0.0299999999999999,0.0,0.0,0.0299999999999999,0.3383458646616541,1.0,0.0,0.0,0.25,1.3125,1.625,83.125,90.0,90.0,67.5,80.0,0.3383458646616541,0.0,0.0,3.5593984962406013,4.3,1.9,1.6,3.4625,0.1353383458646616,0.0,1.0,0.6666666666666666,0.25,0.0,0,0.0,0.0,0.0,0,0,1,1,1,1642,6268,1,1.75,2,0.2831400930507348,0.2711764271471826,1.3570790625,1.09886,1.4213275,1.3819531111111112,1.8677960625,2.042611,1.75202675,1.5827718888888889,1.3125,1.0,1.5,1.5555555555555556,1.625,1.0,1.5,1.4444444444444444,0.0,1.0,1.6,1.5,5.0,2.333333333333333,2.0,2.0,0.983,1.290166666666667,1.46083,1.4466275,2.1884,1.596254,1.5304644,1.5447651999999998,1.625,1.875,1.5171504375,1.891055125,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,165,2,610,1,"[0.8853189, 0.82136166]","[0.07180216, 0.13638352]","[0.04287893, 0.042254798]",1.7066805362701416,0.2081856802105903,0.0851337276399135,0.85334027,0.10409284,0.042566866,0,2,0
6,Craig Dawson,551,Wolverhampton Wanderers,18,2023-12-24T13:00:00Z,0,0,1,0,1,69,0.0,0.0,0.0,0.0,0.0,0.0557746478873239,0.07,0.065,0.0433333333333333,0.05375,0.6338028169014085,1.0,0.5,0.3333333333333333,0.125,0.0,0.0,0.0,0.0,0.0,0.0234507042253521,0.0,0.0149999999999999,0.0099999999999999,0.03375,0.3169014084507042,0.0,0.5,0.3333333333333333,0.375,1.2352941176470589,1.7058823529411764,83.52941176470588,90.0,90.0,67.5,80.0,0.3169014084507042,0.0,1.0,3.4859154929577465,2.4,3.3,2.7,3.6375,0.1267605633802817,0.0,1.0,0.6666666666666666,0.25,0.0,0,0.0,0.0,0.0,0,0,1,1,1,774,4569,7,1.7058823529411764,2,0.4850455136540962,0.2574772431729519,1.3099688823529412,1.070425,1.199615,1.4206203333333334,1.819001,0.999776,1.9484505,1.609134111111111,1.2352941176470589,1.0,1.25,1.4444444444444444,1.7058823529411764,0.5,1.5,1.4444444444444444,2.0,1.0,1.4,2.1,0.0,1.3333333333333333,2.0,2.0,3.27322,2.169977333333333,1.8282066,2.2084113,0.44014,1.8646666666666665,1.7202655999999998,1.7249598,1.6470588235294117,1.5294117647058822,2.111941352941177,1.4839671764705882,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,159,153,421765,19,"[0.49991965, 0.6909875, 0.93355286, 0.5077113, 0.6090266, 0.70738727]","[0.4938016, 0.30714765, 0.051230997, 0.4869336, 0.37335277, 0.2845294]","[0.0062787146, 0.0018648222, 0.015216167, 0.0053550946, 0.01762067, 0.008083379]",3.9485852122306815,1.996995985507965,0.0544188470812514,0.65809757,0.33283266,0.009069808,1,4,1
7,Craig Dawson,551,Wolverhampton Wanderers,19,2023-12-27T19:30:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0568166554734721,0.0782608695652173,0.1,0.05,0.0625,0.6648757555406313,1.3043478260869563,0.5,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0223640026863666,0.0,0.0149999999999999,0.0074999999999999,0.0325,0.3022162525184688,0.0,0.5,0.25,0.25,1.2777777777777777,1.6666666666666667,82.72222222222223,69.0,90.0,90.0,80.0,0.3022162525184688,0.0,0.0,3.4875755540631297,3.521739130434783,3.349999999999999,2.625,3.4375,0.1813297515110812,1.3043478260869563,0.0,0.5,0.25,0.0,0,0.0,0.0,0.0,0,1,0,1,1,820,3774,0,2.0,2,0.2420510562471835,0.267672059415409,1.3342072777777778,0.789098,0.943979,1.2866076666666666,1.815415944444444,1.128145,1.585378,1.5227007777777777,1.2777777777777777,0.5,0.75,1.3333333333333333,1.6666666666666667,2.0,1.5,1.6666666666666667,1.0,0.6666666666666666,1.2,1.4,4.0,2.333333333333333,2.0,1.6,2.59347,1.3449733333333331,1.7029020000000004,1.909486,1.89483,1.4010686666666663,1.1942743999999998,1.3524591,1.3888888888888888,1.5555555555555556,1.8601427222222224,1.3699165,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,150,11,3429,2,"[0.79324836, 0.8693519, 0.97345]","[0.19373089, 0.1098925, 0.023407156]","[0.013020735, 0.02075556, 0.003142852]",2.636050283908844,0.32703054882586,0.0369191465433687,0.8786834,0.10901018,0.012306382,2,1,0
8,Craig Dawson,551,Wolverhampton Wanderers,21,2024-01-22T19:45:00Z,0,0,1,0,0,90,0.0569981000633312,1.0,0.0,0.0,0.0,0.0729575680810639,0.34,0.0782608695652173,0.0939759036144578,0.038423645320197,0.6839772007599747,1.0,1.3043478260869563,0.3614457831325301,0.1477832512315271,0.0,0.0,0.0,0.0,0.0,0.0210892970234325,0.0,0.0,0.0108433734939759,0.0280788177339901,0.2849905003166561,0.0,0.0,0.3614457831325301,0.1477832512315271,1.5,1.55,78.95,90.0,34.5,62.25,67.66666666666667,0.2849905003166561,0.0,0.0,3.7276757441418624,7.7,3.521739130434783,3.3975903614457827,2.4679802955665027,0.2849905003166561,2.0,1.3043478260869563,0.3614457831325301,0.4433497536945813,0.0,0,0.0,0.0,0.0,0,1,1,1,2,63142,19829,5,2.5,2,0.1940298507462686,0.2238805970149253,1.42776655,1.820545,1.3048215,1.3391806666666666,1.7895298999999998,2.17397,1.6510574999999998,1.6348874444444443,1.5,3.0,1.75,1.5555555555555556,1.55,1.0,1.5,1.5555555555555556,0.0,1.6666666666666667,1.2,1.5,0.0,1.0,1.2,1.4,2.1552,2.44625,2.1928548,1.6106741000000002,0.9831,1.5689133333333334,1.7056240000000005,1.5099727,1.9,1.65,1.8327442,1.5886955,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,141,196,101952,70,"[0.89484996, 0.5394339, 0.5049402, 0.94261193, 0.5694877, 0.6385535, 0.9050919, 0.6860201, 0.93126255, 0.8525411, 0.9283227, 0.8660569, 0.7246859, 0.6238676, 0.62454474, 0.93461365, 0.9832212, 0.95527476, 0.986089]","[0.07627522, 0.44971398, 0.47947362, 0.044091802, 0.4044642, 0.3204109, 0.08499379, 0.24505429, 0.062078483, 0.14549185, 0.05857435, 0.07722769, 0.2565213, 0.35590154, 0.36892676, 0.041017964, 0.014177483, 0.028141933, 0.010470059]","[0.028874895, 0.010852138, 0.01558616, 0.013296343, 0.026048103, 0.041035593, 0.0099143395, 0.06892565, 0.006658969, 0.0019670175, 0.013102908, 0.056715336, 0.01879279, 0.020230921, 0.006528509, 0.024368403, 0.0026013094, 0.016583327, 0.0034409678]",15.091469168663023,3.523007219657302,0.385523677105084,0.79428786,0.18542144,0.020290717,3,13,3
9,Craig Dawson,551,Wolverhampton Wanderers,22,2024-02-01T20:15:00Z,0,1,0,0,0,90,0.0539245056920311,0.0,1.0,0.3614457831325301,0.1477832512315271,0.0733373277411623,0.08,0.34,0.1698795180722891,0.0886699507389162,0.701018573996405,1.0,1.0,0.3614457831325301,0.1477832512315271,0.0,0.0,0.0,0.0,0.0,0.0199520671060515,0.0,0.0,0.0,0.0044334975369458,0.2696225284601558,0.0,0.0,0.0,0.1477832512315271,1.4285714285714286,1.4761904761904765,79.47619047619048,90.0,45.0,62.25,67.66666666666667,0.3235470341521869,0.0,1.0,3.6345116836429,2.0,7.7,4.626506024096385,3.236453201970443,0.2696225284601558,0.0,2.0,1.0843373493975903,0.7389162561576355,0.0,0,0.0,0.0,0.0,0,1,1,2,3,11691,7537,2,2.619047619047619,2,0.3773246100276377,0.2677107568352513,1.414118619047619,2.2698,1.7105164999999998,1.505485111111111,1.7695570476190474,1.5565555,1.47646525,1.5702197777777778,1.4285714285714286,3.5,2.25,1.7777777777777777,1.4761904761904765,0.5,1.25,1.3333333333333333,2.0,2.0,1.2,1.2,2.0,2.0,1.6,1.3,0.923233,0.9253926666666666,0.8278778000000001,1.4528902999999995,1.31224,1.2976526666666668,1.4757496,1.7511962999999997,1.1428571428571428,1.380952380952381,1.439114714285714,1.755820523809524,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,132,1029,6379004,64,"[0.7893178, 0.85736865, 0.6715316, 0.86166024, 0.9245406, 0.9287333, 0.9427353]","[0.20620552, 0.1354266, 0.32283336, 0.08528259, 0.06307359, 0.05603559, 0.05206079]","[0.0044767326, 0.007204814, 0.005634971, 0.053057175, 0.012385796, 0.015231152, 0.0052038413]",5.975887477397919,0.9209180288016796,0.1031944816932082,0.8536982,0.13155971,0.014742069,2,5,0
10,Craig Dawson,551,Wolverhampton Wanderers,25,2024-02-17T15:00:00Z,0,0,0,0,0,90,0.0464156781846312,0.0,0.0,0.25,0.1287553648068669,0.0719443011861784,0.0,0.095,0.1525,0.1120171673819742,0.6962351727694688,0.0,0.0,0.0,0.0,0.0464156781846312,0.0,0.5,0.25,0.1287553648068669,0.0185662712738525,0.02,0.005,0.0025,0.0051502145922746,0.3249097472924188,1.0,0.5,0.25,0.2575107296137339,1.5416666666666667,1.625,80.79166666666667,90.0,90.0,90.0,77.66666666666667,0.3249097472924188,0.0,0.0,3.796802475502837,2.5,5.949999999999998,5.4,4.287553648068669,0.2320783909231562,0.0,0.0,0.5,0.6437768240343348,0.0,0,0.0,0.0,0.0,0,0,0,2,4,3285,7284,2,2.458333333333333,2,0.1787296539502591,0.202058577202714,1.480014625,2.383025,2.137995,1.6544584444444443,1.8581845,2.7933250000000003,1.86909775,1.6513514444444444,1.5416666666666667,3.5,2.5,2.0,1.625,3.0,1.5,1.3333333333333333,2.0,2.333333333333333,2.4,2.3,1.0,1.6666666666666667,1.6,1.6,2.10928,2.131197,1.9712202,2.1122161,1.49285,2.11601,1.7707106000000004,1.9744693,2.125,1.5,1.8910860000000005,1.8305241666666667,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,115,4,1453,0,[0.7536125],[0.22905225],[0.017335236],0.7536125183105469,0.2290522456169128,0.0173352360725402,0.7536125,0.22905225,0.017335236,0,1,0
11,Craig Dawson,551,Wolverhampton Wanderers,26,2024-02-25T13:30:00Z,0,0,1,0,1,90,0.0443568260226712,0.0,0.0,0.0,0.1287553648068669,0.0687530803351404,0.0,0.0,0.0675,0.1120171673819742,0.665352390340069,0.0,0.0,0.0,0.0,0.0443568260226712,0.0,0.0,0.25,0.1287553648068669,0.0186298669295219,0.02,0.01,0.0074999999999999,0.007725321888412,0.3548546081813701,1.0,0.5,0.5,0.3862660944206008,1.56,1.6,81.16,90.0,90.0,90.0,77.66666666666667,0.3104977821586989,0.0,1.0,3.841301133563332,4.8,2.6,4.1,4.313304721030043,0.2217841301133563,0.0,0.0,0.0,0.3862660944206008,0.0,0,0.0,0.0,0.0,0,0,0,1,3,36288,4557,7,2.44,2,0.1396391252212642,0.2042482727116998,1.49185044,1.773885,1.741255,1.6476751111111112,1.84776432,2.104375,2.2014575,1.769966777777778,1.56,2.0,1.75,1.8888888888888888,1.6,2.0,2.0,1.5555555555555556,0.0,1.0,1.4,1.1,5.0,3.6666666666666665,3.2,2.4,0.586214,1.365628,1.4957942000000002,1.3288337,3.35549,2.7025966666666665,2.338398,1.9786323,0.88,2.6,0.991463176,2.28113812,0.0418994413407821,0.7122905027932961,0.0637449895411563,0.0,0.0045209917546817,0.0837988826815642,0.2513966480446927,0.0,85.92,6,Dawson,111,137,18499,23,"[0.54592633, 0.9428354, 0.7746658, 0.91817135, 0.8904787, 0.8104216]","[0.44920933, 0.048251413, 0.21444587, 0.07263216, 0.09059383, 0.18305042]","[0.0048643406, 0.0089132255, 0.010888315, 0.009196527, 0.018927608, 0.00652803]",4.882499098777771,1.058183029294014,0.0593180460855364,0.81374985,0.17636383,0.009886341,0,6,0
12,Daniel Bentley,546,Wolverhampton Wanderers,2,2023-08-19T14:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1325,2638,0,0.0,1,0.5079847604571863,0.2519924402267932,1.72228,1.72228,1.72228,1.72228,1.97087,1.97087,1.97087,1.97087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.36748,4.36748,4.36748,4.36748,1.88594,1.88594,1.88594,1.88594,4.0,1.0,4.36748,1.88594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0,Bentley,90,5,1697,1,[0.4772966],[0.45987296],[0.06283042],0.4772965908050537,0.4598729610443115,0.0628304183483123,0.4772966,0.45987296,0.06283042,1,0,0
13,Daniel Bentley,546,Wolverhampton Wanderers,3,2023-08-26T14:00:00Z,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,770,2250,0,0.0,1,0.2962608601719109,0.2899955247604203,2.205245,2.205245,2.205245,2.205245,2.563245,2.563245,2.563245,2.563245,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,4.0,2.5,2.5,2.5,0.721465,1.6557375,1.6557375,1.6557375,3.24336,2.4124,2.4124,2.4124,0.0,2.5,1.6557375,2.4124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0,Bentley,29,0,1697,1,[0.8035822],[0.19150348],[0.004914396],0.8035821914672852,0.1915034800767898,0.0049143959768116,0.8035822,0.19150348,0.004914396,0,1,0
14,Daniel Bentley,546,Wolverhampton Wanderers,15,2023-12-05T19:30:00Z,0,0,1,3,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3571428571428572,1.7857142857142858,4.785714285714286,67.0,0.0,0.0,0.0,0.0,0.0,1.0,3.492537313432836,3.492537313432836,0.0,0.0,0.0,1.3432835820895523,1.3432835820895523,0.0,0.0,0.0,0.2142857142857142,3,0.0,0.0,0.0,0,1,0,0,0,28976,2485,7,0.5714285714285714,1,0.2236620583918221,0.2662937767040755,1.3980296428571428,1.743795,1.37475325,1.2824083333333332,1.9917989285714288,1.4614425,1.58610125,1.6919716666666669,1.3571428571428572,2.0,1.75,1.5555555555555556,1.7857142857142858,2.0,2.0,1.6666666666666667,5.0,2.333333333333333,1.6,1.1,0.0,1.6666666666666667,1.8,2.0,2.60469,1.4582253333333333,1.3554052000000003,1.1084296,0.618131,1.5399003333333334,1.4313502,1.7745274000000002,1.0714285714285714,2.2857142857142856,1.0356874285714286,1.863326357142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0,Bentley,176,6,1779,2,"[0.7692081, 0.62937164]","[0.12099326, 0.35942167]","[0.10979873, 0.011206588]",1.398579716682434,0.4804149270057678,0.1210053171962499,0.69928986,0.24020746,0.06050266,0,2,0
